,Household_ID,Zone,Household_Size,Distribution_Date,Ration_Type,Ration_Amount_Kg,Satisfaction_Rating,Rice_Kg,Vegetable_Oil_L
249,HH0250,,1.0,2025-06-24,Cash Transfer,37.6,Satisfied,28.3,2.1
250,HH0251,Kakuma 1,9.0,,Cash Transfer,58.7,Unsatisfied,40.2,
251,HH0252,Kakuma 4,7.0,2025-06-24,E-Voucher,20.1,Unsatisfied,14.3,1.6
252,HH0253,Kakuma 4,1.0,2025-06-17,Cash Transfer,48.6,,29.4,2.6
253,HH0254,Kakuma 3,8.0,2025-06-05,Dry Rations,,Satisfied,19.0,2.9
254,HH0255,Kakuma 1,3.0,2025-06-20,E-Voucher,35.1,Satisfied,,2.7
255,HH0256,,8.0,2025-06-21,Dry Rations,45.7,Very Unsatisfied,34.9,
256,HH0257,Kakuma 1,5.0,2025-06-08,E-Voucher,45.6,Very Unsatisfied,35.4,3.6
257,HH0258,Kalobeyei,1.0,2025-06-26,Cash Transfer,46.1,Very Satisfied,28.5,2.7
258,HH0259,Kakuma 2,7.0,2025-07-01,E-Voucher,26.1,Satisfied,18.5,1.6
259,HH0260,Kakuma 2,5.0,2025-06-14,,54.5,Satisfied,42.7,3.6
260,HH0261,Kakuma 2,6.0,2025-06-04,Dry Rations,31.0,Satisfied,21.0,2.5
261,HH0262,,6.0,2025-06-11,Dry Rations,32.3,Very Unsatisfied,24.7,2.0
262,HH0263,,8.0,,E-Voucher,46.4,Unsatisfied,29.1,2.6
263,HH0264,Kakuma 1,9.0,2025-06-15,Cash Transfer,37.1,Neutral,29.2,3.7
264,HH0265,Kakuma 4,2.0,2025-06-19,Cash Transfer,43.1,Very Unsatisfied,,2.2
265,HH0266,Kakuma 1,9.0,2025-06-07,Dry Rations,,Satisfied,14.5,
266,HH0267,,9.0,,Cash Transfer,42.8,Very Unsatisfied,31.5,3.8
267,HH0268,Kakuma 1,7.0,2025-06-28,Dry Rations,42.2,Very Satisfied,28.4,2.7
268,HH0269,Kalobeyei,1.0,2025-06-19,Cash Transfer,34.9,,,2.0
269,HH0270,Kakuma 4,,2025-06-11,,19.3,Very Satisfied,12.6,1.1
270,HH0271,Kakuma 3,5.0,2025-06-26,,37.9,Satisfied,25.3,3.2
271,HH0272,Kakuma 1,6.0,2025-06-05,Dry Rations,39.6,Very Unsatisfied,29.3,3.3
272,HH0273,Kakuma 1,7.0,2025-06-05,E-Voucher,36.3,Unsatisfied,27.3,3.2
273,HH0274,Kakuma 4,5.0,2025-06-30,Dry Rations,21.6,Neutral,17.0,2.1
274,HH0275,Kakuma 3,7.0,2025-06-22,Cash Transfer,55.9,Very Satisfied,35.8,4.7
275,HH0276,Kakuma 3,9.0,2025-06-08,Cash Transfer,33.6,Very Unsatisfied,25.5,1.9
276,HH0277,Kalobeyei,3.0,2025-06-10,Dry Rations,37.8,Unsatisfied,28.3,2.4
277,HH0278,Kakuma 3,8.0,2025-06-06,Cash Transfer,15.9,Very Unsatisfied,9.7,1.5
278,HH0279,Kakuma 3,2.0,2025-06-15,Dry Rations,,Very Satisfied,37.9,3.4
279,HH0280,Kakuma 3,7.0,2025-06-16,E-Voucher,35.3,Neutral,23.2,
280,HH0281,Kakuma 2,2.0,2025-06-28,,41.0,Very Unsatisfied,27.1,3.5
281,HH0282,Kalobeyei,4.0,2025-06-17,E-Voucher,51.2,Satisfied,40.8,
282,HH0283,Kakuma 1,7.0,,Cash Transfer,33.2,,24.2,3.2
283,HH0284,Kakuma 4,3.0,2025-06-08,E-Voucher,49.6,,36.9,4.1
284,HH0285,Kakuma 1,2.0,2025-06-08,Cash Transfer,19.4,,15.4,1.1
285,HH0286,,7.0,2025-06-25,Dry Rations,45.5,Satisfied,30.7,4.4
286,HH0287,Kakuma 4,1.0,2025-06-09,,,Neutral,42.4,3.5
287,HH0288,Kalobeyei,8.0,2025-06-02,Dry Rations,34.2,,23.5,2.3
288,HH0289,Kakuma 3,3.0,2025-06-15,Dry Rations,51.2,Satisfied,39.6,3.6
289,HH0290,,2.0,2025-06-18,E-Voucher,58.3,Unsatisfied,37.1,3.1
290,HH0291,,3.0,2025-06-03,E-Voucher,37.5,Very Unsatisfied,29.6,
291,HH0292,Kakuma 1,5.0,2025-06-17,E-Voucher,36.6,Satisfied,23.6,2.1
292,HH0293,Kakuma 1,8.0,2025-06-04,E-Voucher,,Very Satisfied,20.6,2.2
293,HH0294,Kakuma 4,,2025-06-30,Cash Transfer,34.9,Unsatisfied,26.2,2.4
294,HH0295,Kakuma 4,7.0,2025-06-04,Cash Transfer,31.8,,21.6,2.8
295,HH0296,Kalobeyei,7.0,2025-06-14,Cash Transfer,31.0,Satisfied,,2.8
296,HH0297,Kalobeyei,8.0,,Dry Rations,52.0,Neutral,35.8,3.0
297,HH0298,Kakuma 3,1.0,2025-06-09,Cash Transfer,32.1,Unsatisfied,24.0,2.2
298,HH0299,Kakuma 4,4.0,2025-06-25,Cash Transfer,,,27.5,2.9
299,HH0300,Kakuma 1,6.0,2025-06-26,Cash Transfer,40.4,Satisfied,24.7,
300,HH0301,,9.0,2025-06-23,E-Voucher,55.0,Unsatisfied,36.3,4.9
301,HH0302,Kalobeyei,2.0,2025-06-30,Cash Transfer,35.0,Very Satisfied,24.3,3.0
302,HH0303,Kakuma 1,1.0,2025-07-01,Dry Rations,43.8,Satisfied,27.8,2.6
303,HH0304,,2.0,2025-06-18,E-Voucher,47.9,Very Unsatisfied,32.1,3.3
304,HH0305,Kakuma 3,7.0,2025-06-10,Dry Rations,,Satisfied,37.3,3.0
305,HH0306,Kakuma 4,3.0,2025-06-21,Cash Transfer,34.8,Unsatisfied,21.3,
306,HH0307,Kakuma 1,2.0,2025-06-04,E-Voucher,33.8,Satisfied,24.2,1.9
307,HH0308,Kakuma 4,7.0,2025-06-12,Dry Rations,29.4,Very Satisfied,22.8,2.9
308,HH0309,Kalobeyei,2.0,2025-06-27,Cash Transfer,62.4,Very Satisfied,39.3,
309,HH0310,Kalobeyei,,2025-06-08,Dry Rations,53.8,Very Unsatisfied,38.7,3.7
310,HH0311,Kakuma 1,7.0,2025-06-02,Dry Rations,39.6,Neutral,29.0,3.1
311,HH0312,,4.0,2025-06-22,Dry Rations,59.3,Unsatisfied,40.6,5.7
312,HH0313,Kakuma 2,1.0,,,39.0,Unsatisfied,28.9,
313,HH0314,Kakuma 1,5.0,2025-06-21,Cash Transfer,47.2,Neutral,32.2,2.8
314,HH0315,Kakuma 2,,2025-07-01,Dry Rations,40.1,Very Satisfied,28.1,2.8
315,HH0316,Kakuma 2,8.0,2025-06-16,E-Voucher,44.0,Very Satisfied,26.5,4.1
316,HH0317,Kakuma 3,9.0,2025-06-28,E-Voucher,42.9,Satisfied,31.7,3.5
317,HH0318,Kakuma 2,9.0,2025-06-02,Cash Transfer,35.8,Very Unsatisfied,26.2,3.0
318,HH0319,Kakuma 2,7.0,2025-06-11,Cash Transfer,50.9,Very Unsatisfied,30.9,4.8
319,HH0320,Kakuma 3,4.0,2025-06-10,Cash Transfer,47.2,Very Unsatisfied,31.8,4.5
320,HH0321,Kakuma 2,5.0,2025-06-15,Cash Transfer,50.3,Satisfied,40.0,4.8
321,HH0322,Kakuma 2,1.0,2025-06-17,Cash Transfer,43.2,,,2.4
322,HH0323,Kakuma 2,,2025-06-08,,30.9,Neutral,21.6,2.4
323,HH0324,Kakuma 1,3.0,2025-06-18,Cash Transfer,57.1,Satisfied,44.7,5.0
324,HH0325,Kakuma 1,8.0,2025-06-23,Dry Rations,37.4,Neutral,,3.3
325,HH0326,Kakuma 1,2.0,,Dry Rations,,Satisfied,31.2,3.5
326,HH0327,Kakuma 3,,2025-06-25,E-Voucher,46.4,Very Unsatisfied,35.2,2.7
327,HH0328,Kalobeyei,2.0,2025-06-08,Dry Rations,43.6,Neutral,33.7,3.9
328,HH0329,Kakuma 2,5.0,2025-06-27,E-Voucher,49.2,Neutral,34.0,4.2
329,HH0330,Kakuma 2,9.0,2025-06-14,E-Voucher,50.7,Neutral,35.2,2.8
330,HH0331,Kakuma 3,1.0,2025-06-28,Dry Rations,37.8,Satisfied,25.6,2.8
331,HH0332,Kakuma 2,5.0,2025-06-26,,56.3,Unsatisfied,44.7,
332,HH0333,,9.0,2025-06-25,Dry Rations,37.3,Very Unsatisfied,27.6,
333,HH0334,Kalobeyei,1.0,2025-06-18,Dry Rations,43.4,Neutral,26.8,2.2
334,HH0335,Kakuma 4,,2025-06-22,,36.1,Unsatisfied,27.9,2.5
335,HH0336,Kakuma 2,8.0,2025-06-20,Dry Rations,33.3,Very Unsatisfied,23.2,2.6
336,HH0337,Kakuma 1,,2025-06-30,E-Voucher,50.4,Very Unsatisfied,,4.1
337,HH0338,Kakuma 4,5.0,,,71.2,Neutral,50.5,5.9
338,HH0339,Kalobeyei,5.0,2025-06-21,,36.4,Neutral,24.9,
339,HH0340,Kakuma 4,6.0,2025-06-12,Cash Transfer,52.2,Satisfied,40.5,3.2
340,HH0341,Kakuma 1,,2025-06-19,Dry Rations,36.7,,23.5,2.1
341,HH0342,Kakuma 4,8.0,2025-06-14,E-Voucher,39.9,Unsatisfied,30.5,3.7
342,HH0343,Kakuma 3,8.0,2025-06-17,Cash Transfer,57.6,Neutral,41.0,3.3
343,HH0344,Kakuma 4,2.0,2025-06-24,,29.3,Very Unsatisfied,17.9,2.9
344,HH0345,Kakuma 2,9.0,2025-06-21,E-Voucher,26.6,Neutral,,2.5
345,HH0346,Kakuma 2,7.0,,Cash Transfer,39.1,Very Unsatisfied,,2.9
346,HH0347,Kakuma 3,4.0,2025-06-26,Cash Transfer,46.6,Very Unsatisfied,,4.6
347,HH0348,Kakuma 1,4.0,2025-06-30,E-Voucher,44.6,Neutral,30.9,2.4
348,HH0349,Kakuma 2,8.0,,Cash Transfer,43.6,,33.6,2.8
349,HH0350,,4.0,2025-06-07,E-Voucher,40.3,Unsatisfied,26.6,3.3
350,HH0351,Kakuma 2,6.0,2025-06-17,E-Voucher,47.9,Very Unsatisfied,30.6,3.2
351,HH0352,Kakuma 2,,2025-06-12,Cash Transfer,10.9,Very Unsatisfied,6.8,1.1
352,HH0353,Kakuma 1,3.0,2025-06-09,Dry Rations,32.5,Very Satisfied,21.4,1.7
353,HH0354,Kakuma 4,2.0,,Cash Transfer,39.1,Satisfied,29.6,3.0
354,HH0355,Kakuma 2,9.0,,Dry Rations,47.0,,,
355,HH0356,Kakuma 3,9.0,2025-06-21,E-Voucher,54.9,Very Satisfied,35.4,4.5
356,HH0357,Kakuma 4,1.0,,E-Voucher,31.1,Very Unsatisfied,19.7,2.0
357,HH0358,Kalobeyei,3.0,2025-06-30,Dry Rations,54.6,Unsatisfied,36.4,3.7
358,HH0359,Kakuma 1,8.0,2025-06-21,E-Voucher,,Very Satisfied,28.0,3.3
359,HH0360,,,2025-06-30,Dry Rations,38.7,Satisfied,25.9,2.3
360,HH0361,Kakuma 4,5.0,2025-06-08,Dry Rations,45.8,Neutral,36.5,4.2
361,HH0362,Kakuma 4,5.0,2025-06-14,E-Voucher,38.0,Very Satisfied,26.5,3.0
362,HH0363,,6.0,2025-06-08,Dry Rations,51.1,Very Satisfied,32.5,4.5
363,HH0364,Kalobeyei,7.0,2025-06-14,Cash Transfer,36.0,Satisfied,,3.1
364,HH0365,Kakuma 4,1.0,2025-06-07,Cash Transfer,36.1,Unsatisfied,25.0,2.2
365,HH0366,Kalobeyei,,2025-06-23,E-Voucher,50.5,Very Satisfied,37.5,4.0
366,HH0367,Kakuma 4,3.0,2025-06-12,E-Voucher,32.4,Very Satisfied,25.8,3.0
367,HH0368,Kakuma 3,4.0,2025-06-11,Dry Rations,42.5,Unsatisfied,25.9,3.0
368,HH0369,,1.0,,Dry Rations,23.4,Satisfied,14.5,2.3
369,HH0370,Kalobeyei,3.0,2025-06-22,Dry Rations,58.2,Very Satisfied,43.3,4.2
370,HH0371,Kakuma 2,2.0,2025-06-11,Dry Rations,52.1,,34.2,3.0
371,HH0372,Kakuma 4,2.0,2025-06-25,Cash Transfer,67.5,Very Satisfied,43.0,4.7
372,HH0373,Kakuma 2,1.0,2025-06-22,Cash Transfer,53.4,Neutral,32.5,5.2
373,HH0374,Kakuma 3,8.0,2025-06-28,,28.7,Very Unsatisfied,17.3,1.9
374,HH0375,Kakuma 1,3.0,2025-06-29,Dry Rations,46.7,Neutral,35.3,4.4
375,HH0376,Kakuma 3,3.0,,,30.8,Very Satisfied,19.3,2.9
376,HH0377,Kakuma 4,6.0,,E-Voucher,55.8,Satisfied,38.7,3.8
377,HH0378,Kakuma 2,8.0,2025-06-02,Dry Rations,29.0,Very Unsatisfied,20.9,1.6
378,HH0379,Kakuma 2,9.0,,Dry Rations,28.5,Neutral,19.5,2.5
379,HH0380,Kalobeyei,9.0,2025-06-21,Dry Rations,23.9,Unsatisfied,,1.6
380,HH0381,Kakuma 2,4.0,2025-06-15,,35.1,Satisfied,26.6,3.1
381,HH0382,Kalobeyei,5.0,2025-06-20,Dry Rations,33.1,Neutral,19.9,2.4
382,HH0383,Kakuma 1,2.0,2025-06-27,E-Voucher,27.4,,20.6,2.0
383,HH0384,Kakuma 4,9.0,,Dry Rations,59.9,,,
384,HH0385,Kalobeyei,8.0,2025-07-01,E-Voucher,45.3,Unsatisfied,31.1,3.1
385,HH0386,Kakuma 1,3.0,2025-06-15,Dry Rations,44.1,Neutral,31.2,3.2
386,HH0387,Kakuma 2,9.0,2025-06-19,Cash Transfer,55.9,Neutral,38.9,3.8
387,HH0388,Kakuma 2,3.0,2025-06-23,Cash Transfer,42.6,Very Satisfied,,2.9
388,HH0389,Kakuma 1,,2025-06-24,Cash Transfer,32.5,Unsatisfied,25.3,2.5
389,HH0390,Kakuma 2,2.0,2025-06-12,Cash Transfer,23.0,Unsatisfied,17.9,2.1
390,HH0391,Kakuma 1,9.0,2025-06-13,E-Voucher,31.9,Very Satisfied,21.3,2.2
391,HH0392,Kalobeyei,8.0,2025-06-22,E-Voucher,55.1,,39.8,4.2
392,HH0393,Kalobeyei,9.0,2025-06-11,Dry Rations,27.4,Very Satisfied,21.5,2.3
393,HH0394,Kakuma 1,5.0,2025-06-05,Cash Transfer,43.5,,34.5,2.8
394,HH0395,Kalobeyei,2.0,2025-06-29,E-Voucher,50.3,Neutral,35.3,3.2
395,HH0396,,8.0,2025-06-01,Dry Rations,42.9,Satisfied,29.6,4.1
396,HH0397,Kalobeyei,6.0,2025-06-24,Dry Rations,44.0,Very Unsatisfied,28.9,3.8
397,HH0398,,8.0,2025-06-03,E-Voucher,46.6,Very Unsatisfied,36.9,3.7
398,HH0399,Kakuma 4,5.0,2025-07-01,,43.8,Very Unsatisfied,27.5,3.6
399,HH0400,Kakuma 2,2.0,2025-06-22,Dry Rations,56.1,Very Satisfied,40.2,2.9
400,HH0401,Kakuma 3,6.0,2025-06-19,Cash Transfer,29.6,Unsatisfied,19.4,2.4
401,HH0402,Kalobeyei,5.0,2025-06-23,Cash Transfer,42.4,Satisfied,,3.2
402,HH0403,Kakuma 1,5.0,,Cash Transfer,21.8,Satisfied,14.8,1.7
403,HH0404,Kalobeyei,1.0,2025-06-30,,19.3,,15.4,1.3
404,HH0405,Kakuma 4,2.0,,Cash Transfer,39.2,Satisfied,24.0,2.1
405,HH0406,,8.0,2025-06-12,Dry Rations,45.4,Very Unsatisfied,,2.7
406,HH0407,Kakuma 1,,2025-06-15,Cash Transfer,56.3,Satisfied,,5.5
407,HH0408,Kakuma 4,,2025-06-25,Dry Rations,,Unsatisfied,40.5,4.5
408,HH0409,Kalobeyei,8.0,2025-06-05,Cash Transfer,53.2,Very Unsatisfied,36.6,
409,HH0410,Kakuma 4,8.0,2025-06-15,E-Voucher,47.3,Satisfied,33.2,2.5
410,HH0411,Kakuma 2,2.0,2025-06-08,Cash Transfer,41.6,Very Satisfied,27.1,2.2
411,HH0412,Kakuma 2,8.0,2025-06-10,Cash Transfer,,Neutral,16.4,2.1
412,HH0413,Kalobeyei,1.0,2025-06-26,Dry Rations,,Neutral,23.8,3.0
413,HH0414,Kakuma 4,6.0,2025-06-16,,52.9,Neutral,34.9,4.0
414,HH0415,Kakuma 1,8.0,2025-06-08,Cash Transfer,49.0,Very Unsatisfied,38.9,3.0
415,HH0416,Kalobeyei,3.0,2025-06-01,E-Voucher,27.1,,21.4,2.4
416,HH0417,Kakuma 2,8.0,2025-06-12,E-Voucher,46.1,Very Unsatisfied,30.7,2.7
417,HH0418,Kakuma 2,1.0,2025-06-05,,45.3,Unsatisfied,32.4,2.7
418,HH0419,Kalobeyei,9.0,2025-06-03,E-Voucher,43.5,Very Satisfied,34.0,3.2
419,HH0420,Kakuma 4,9.0,2025-06-01,,39.7,Very Satisfied,23.9,2.6
420,HH0421,Kakuma 2,5.0,2025-06-04,Dry Rations,46.7,Neutral,35.6,2.9
421,HH0422,,,2025-06-08,Cash Transfer,47.0,,,
422,HH0423,Kakuma 2,6.0,2025-06-03,Dry Rations,33.6,Neutral,20.8,2.8
423,HH0424,Kakuma 2,,2025-06-10,Dry Rations,44.6,Satisfied,28.2,4.1
424,HH0425,Kakuma 3,5.0,2025-06-02,Dry Rations,38.1,Unsatisfied,30.2,2.7
425,HH0426,Kakuma 2,,,Dry Rations,25.1,Unsatisfied,17.8,1.3
426,HH0427,Kakuma 1,3.0,2025-06-25,E-Voucher,34.4,Unsatisfied,20.7,2.2
427,HH0428,Kalobeyei,7.0,2025-06-10,Cash Transfer,24.4,Unsatisfied,15.9,2.4
428,HH0429,Kalobeyei,5.0,2025-06-21,Cash Transfer,49.8,Neutral,,4.0
429,HH0430,Kakuma 4,,2025-06-14,Cash Transfer,43.6,Very Satisfied,32.2,3.7
430,HH0431,Kakuma 2,2.0,2025-06-07,Dry Rations,36.4,Neutral,27.2,1.8
431,HH0432,,4.0,2025-06-27,E-Voucher,,Unsatisfied,43.3,4.1
432,HH0433,Kakuma 4,2.0,,Cash Transfer,40.7,Neutral,26.8,2.1
433,HH0434,Kakuma 3,7.0,2025-06-02,E-Voucher,25.7,,18.2,2.0
434,HH0435,Kakuma 4,2.0,2025-06-09,,35.6,Very Unsatisfied,25.2,3.4
435,HH0436,Kakuma 4,1.0,2025-06-16,Cash Transfer,56.3,Very Satisfied,,
436,HH0437,Kakuma 2,9.0,2025-06-13,E-Voucher,33.3,Very Unsatisfied,21.1,2.6
437,HH0438,Kakuma 3,1.0,2025-06-09,Dry Rations,42.8,Satisfied,34.0,3.1
438,HH0439,Kakuma 4,8.0,2025-06-20,E-Voucher,47.4,Neutral,,4.6
439,HH0440,Kakuma 1,2.0,2025-06-04,Cash Transfer,45.9,Satisfied,32.1,3.8
440,HH0441,,8.0,2025-06-22,Cash Transfer,64.5,Neutral,,3.4
441,HH0442,Kalobeyei,3.0,2025-06-10,Dry Rations,28.2,Very Unsatisfied,18.2,2.1
442,HH0443,Kakuma 3,6.0,2025-06-26,Dry Rations,29.2,Unsatisfied,20.7,1.8
443,HH0444,Kakuma 3,3.0,,Dry Rations,28.4,Unsatisfied,21.0,2.1
444,HH0445,,7.0,,E-Voucher,37.0,Neutral,26.0,2.7
445,HH0446,Kakuma 4,,2025-06-12,E-Voucher,51.0,Unsatisfied,40.7,4.0
446,HH0447,Kakuma 3,2.0,2025-06-17,E-Voucher,29.7,Very Unsatisfied,21.5,2.0
447,HH0448,Kakuma 1,5.0,2025-06-14,Dry Rations,51.1,Unsatisfied,34.5,
448,HH0449,Kakuma 1,6.0,2025-06-14,,40.4,Very Unsatisfied,30.5,3.0
449,HH0450,Kakuma 2,4.0,2025-06-25,Cash Transfer,,Satisfied,18.3,2.6
450,HH0451,Kakuma 3,4.0,2025-06-02,E-Voucher,22.5,Very Unsatisfied,15.2,1.9
451,HH0452,Kakuma 4,4.0,2025-06-21,E-Voucher,24.7,Very Satisfied,16.5,1.7
452,HH0453,,2.0,2025-06-25,Cash Transfer,33.3,,22.9,3.2
453,HH0454,Kalobeyei,4.0,2025-06-20,Cash Transfer,38.3,Very Satisfied,29.0,3.7
454,HH0455,Kakuma 4,1.0,2025-06-11,E-Voucher,53.5,Neutral,37.3,3.2
455,HH0456,Kakuma 2,6.0,2025-06-16,E-Voucher,48.0,Neutral,36.4,2.5
456,HH0457,Kalobeyei,1.0,2025-06-19,Cash Transfer,31.6,Neutral,,2.8
457,HH0458,Kakuma 3,6.0,2025-07-01,Dry Rations,44.1,Very Unsatisfied,29.5,4.0
458,HH0459,Kakuma 2,,2025-06-23,E-Voucher,56.5,Neutral,43.1,5.6
459,HH0460,Kakuma 3,,2025-06-06,Cash Transfer,58.7,Satisfied,,5.5
460,HH0461,Kakuma 1,8.0,2025-06-24,Cash Transfer,36.9,Very Satisfied,23.8,3.0
461,HH0462,Kakuma 2,2.0,2025-06-19,Cash Transfer,49.6,Very Unsatisfied,34.8,3.8
462,HH0463,Kalobeyei,2.0,,Cash Transfer,53.9,Very Satisfied,35.2,2.8
463,HH0464,Kakuma 2,4.0,2025-06-26,Dry Rations,24.9,Neutral,,1.6
464,HH0465,Kakuma 2,3.0,2025-06-04,Cash Transfer,34.9,Very Unsatisfied,25.5,2.5
465,HH0466,Kakuma 2,4.0,2025-06-15,E-Voucher,62.2,Unsatisfied,43.7,5.1
466,HH0467,Kakuma 2,7.0,2025-06-29,Dry Rations,37.0,Satisfied,25.5,2.9
467,HH0468,Kakuma 3,1.0,2025-06-04,Cash Transfer,10.7,Neutral,8.5,0.9
468,HH0469,Kakuma 1,6.0,2025-06-20,Dry Rations,38.8,Neutral,27.7,2.5
469,HH0470,Kakuma 4,3.0,2025-06-10,E-Voucher,51.2,Satisfied,39.6,4.0
470,HH0471,Kakuma 2,7.0,2025-06-24,Cash Transfer,40.1,Satisfied,25.2,2.2
471,HH0472,Kalobeyei,2.0,2025-06-22,E-Voucher,47.2,Unsatisfied,33.7,3.3
472,HH0473,Kakuma 2,2.0,2025-06-03,,49.4,Neutral,38.2,4.3
473,HH0474,Kalobeyei,4.0,2025-06-26,Cash Transfer,36.5,Neutral,26.2,3.1
474,HH0475,Kakuma 3,1.0,2025-06-05,Cash Transfer,34.8,Very Satisfied,25.9,3.5
475,HH0476,Kalobeyei,3.0,2025-06-06,Cash Transfer,41.5,Very Unsatisfied,28.0,2.7
476,HH0477,Kakuma 4,9.0,2025-06-21,Cash Transfer,41.8,Very Unsatisfied,25.9,3.1
477,HH0478,Kakuma 1,7.0,2025-06-22,Dry Rations,,Very Satisfied,,2.7
478,HH0479,Kalobeyei,7.0,2025-06-08,Cash Transfer,41.0,Very Unsatisfied,27.8,3.0
479,HH0480,Kalobeyei,4.0,2025-06-07,Cash Transfer,32.5,Satisfied,25.1,3.0
480,HH0481,Kakuma 1,2.0,2025-06-21,Dry Rations,47.5,Very Unsatisfied,,4.0
481,HH0482,Kakuma 4,4.0,2025-06-10,,46.0,Very Unsatisfied,36.5,4.3
482,HH0483,Kakuma 2,6.0,2025-06-06,Dry Rations,26.6,,21.1,1.6
483,HH0484,Kalobeyei,3.0,2025-06-14,Dry Rations,36.1,Unsatisfied,23.4,3.4
484,HH0485,Kakuma 1,1.0,2025-06-04,Dry Rations,40.9,Very Unsatisfied,27.4,2.2
485,HH0486,Kakuma 3,8.0,2025-06-28,Dry Rations,34.7,Very Unsatisfied,27.0,3.3
486,HH0487,Kakuma 1,5.0,2025-06-25,Cash Transfer,46.4,Unsatisfied,36.8,3.1
487,HH0488,Kakuma 3,5.0,2025-06-13,Cash Transfer,39.3,Very Satisfied,27.1,2.6
488,HH0489,Kakuma 4,4.0,2025-06-20,E-Voucher,41.7,Unsatisfied,27.7,3.2
489,HH0490,Kakuma 2,6.0,2025-06-17,Cash Transfer,36.0,Very Satisfied,25.4,3.5
490,HH0491,Kakuma 1,3.0,2025-06-23,Cash Transfer,20.1,Satisfied,14.8,1.1
491,HH0492,Kalobeyei,9.0,2025-06-07,Dry Rations,19.5,Very Satisfied,12.8,1.3
492,HH0493,Kakuma 4,5.0,2025-06-04,Dry Rations,45.9,Satisfied,34.3,4.3
493,HH0494,Kakuma 1,3.0,2025-06-29,Cash Transfer,42.7,Satisfied,26.1,3.0
494,HH0495,Kalobeyei,1.0,2025-06-14,E-Voucher,44.4,Very Satisfied,,2.7
495,HH0496,Kakuma 1,6.0,2025-06-03,Dry Rations,41.3,Neutral,28.0,2.9
496,HH0497,Kakuma 3,2.0,2025-06-24,Cash Transfer,42.1,Very Satisfied,28.2,2.9
